epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,28195.9,0.84352,0.76376,0.99618,0.57143,0.51349,0.50721,0.381,0.73155,0.71616,0.98427,0.003367,0.003367,0.003367
69,29358.8,0.84285,0.76348,0.99569,0.55734,0.51603,0.50193,0.3774,0.73141,0.71586,0.98419,0.003268,0.003268,0.003268
70,30460.7,0.84277,0.75855,0.99349,0.57236,0.52554,0.5169,0.38697,0.73135,0.71558,0.98414,0.003169,0.003169,0.003169
71,31476.8,0.83988,0.76069,0.99365,0.56144,0.52157,0.51003,0.38261,0.73126,0.71529,0.98402,0.00307,0.00307,0.00307
72,32528,0.84072,0.76135,0.99511,0.57608,0.51715,0.51198,0.3836,0.73095,0.71495,0.98379,0.002971,0.002971,0.002971
73,33530.7,0.83822,0.75578,0.9916,0.56562,0.53058,0.51789,0.38787,0.73074,0.71457,0.98364,0.002872,0.002872,0.002872
74,34493,0.8328,0.74976,0.99269,0.5661,0.52489,0.51149,0.38319,0.73061,0.7142,0.98355,0.002773,0.002773,0.002773
75,35461.6,0.83608,0.75596,0.99092,0.56768,0.52482,0.51191,0.38387,0.73051,0.71382,0.98346,0.002674,0.002674,0.002674
76,36454.9,0.82993,0.74764,0.99027,0.56855,0.53076,0.5191,0.38944,0.73046,0.71337,0.98336,0.002575,0.002575,0.002575
77,37517.9,0.82798,0.74603,0.9893,0.56952,0.53094,0.51917,0.38956,0.73031,0.71298,0.9832,0.002476,0.002476,0.002476
78,38568.9,0.83219,0.75134,0.99129,0.57107,0.53039,0.51915,0.38957,0.73,0.71276,0.98288,0.002377,0.002377,0.002377
79,1755.43,0.82179,0.74329,0.98809,0.5544,0.41015,0.39782,0.30247,0.73003,0.71276,0.98293,0.002278,0.002278,0.002278
80,3102.19,0.82062,0.7409,0.9877,0.56014,0.47794,0.46551,0.35081,0.73001,0.71273,0.9829,0.002179,0.002179,0.002179
81,4350.39,0.8215,0.74292,0.98917,0.56405,0.49839,0.48849,0.36855,0.73002,0.71258,0.98292,0.00208,0.00208,0.00208
82,5543.63,0.82008,0.74129,0.98787,0.56613,0.50327,0.49353,0.37225,0.72995,0.71226,0.98292,0.001981,0.001981,0.001981
83,6959.3,0.82254,0.7385,0.98747,0.56777,0.50903,0.49925,0.37574,0.72793,0.71345,0.97942,0.001882,0.001882,0.001882
84,8373.2,0.8186,0.73363,0.9842,0.56392,0.50861,0.49813,0.37514,0.72664,0.70791,0.97961,0.001783,0.001783,0.001783
85,9679.03,0.81139,0.73175,0.98429,0.57271,0.51833,0.5103,0.38336,0.73008,0.71134,0.98301,0.001684,0.001684,0.001684
86,10763,0.81214,0.73226,0.98499,0.56388,0.51896,0.50854,0.38251,0.73013,0.71112,0.98303,0.001585,0.001585,0.001585
87,11822.2,0.8097,0.7286,0.98137,0.56636,0.52392,0.51458,0.38609,0.73003,0.71084,0.98291,0.001486,0.001486,0.001486
88,12865.4,0.81074,0.72553,0.98214,0.56513,0.5299,0.51817,0.38792,0.7301,0.7106,0.98299,0.001387,0.001387,0.001387
89,13884.9,0.80773,0.72366,0.98371,0.56493,0.53177,0.52123,0.39065,0.7301,0.71045,0.98297,0.001288,0.001288,0.001288
90,14890.4,0.80919,0.7284,0.98251,0.56531,0.53263,0.52178,0.39094,0.72999,0.71011,0.98288,0.001189,0.001189,0.001189
91,15995.2,0.72671,0.62912,0.95087,0.56196,0.5145,0.50361,0.37889,0.72986,0.70963,0.9828,0.00109,0.00109,0.00109
92,17015.5,0.71884,0.6194,0.94807,0.56705,0.52261,0.5132,0.38542,0.72959,0.70915,0.9826,0.000991,0.000991,0.000991
93,18058.7,0.7152,0.61426,0.94755,0.56695,0.52149,0.51092,0.38384,0.72936,0.70857,0.98243,0.000892,0.000892,0.000892
94,19077.3,0.71071,0.61041,0.94422,0.56818,0.52195,0.51319,0.38538,0.72916,0.70794,0.98232,0.000793,0.000793,0.000793
95,20074.7,0.707,0.60482,0.94299,0.5689,0.52447,0.51869,0.38961,0.72891,0.70724,0.98217,0.000694,0.000694,0.000694
96,21060.6,0.70553,0.60514,0.94389,0.56689,0.52162,0.51437,0.38639,0.72864,0.70664,0.98196,0.000595,0.000595,0.000595
97,22068.6,0.69851,0.59808,0.93955,0.56763,0.51495,0.51273,0.38649,0.7284,0.70605,0.98182,0.000496,0.000496,0.000496
98,23072.5,0.70036,0.59764,0.94008,0.5628,0.51522,0.50686,0.382,0.72822,0.70555,0.98167,0.000397,0.000397,0.000397
99,24105.9,0.69872,0.59482,0.93889,0.56725,0.5098,0.5054,0.38098,0.72802,0.7051,0.98155,0.000298,0.000298,0.000298
100,25161.2,0.69505,0.5933,0.93831,0.56885,0.51592,0.51116,0.38477,0.72784,0.70463,0.98148,0.000199,0.000199,0.000199
